  No. Level     0     1     2     3     4     5     6     7     8     9 Entropy
    1     2    46   102    53    13     2     0     0     0     0    40 2.1358
    2     2    70    64    63    15     4     0     0     0     0    40 2.2613
    3     2    67    75    51    21     2     0     0     0     0    40 2.2578
    4     2    50    96    55    14     1     0     0     0     0    40 2.1465
    5     2    55    85    58    12     4     2     0     0     0    40 2.2639
    6     2    61    69    66    18     2     0     0     0     0    40 2.2495
    7     2    76    77    42    16     5     0     0     0     0    40 2.2486
    8     2    49   103    47    15     2     0     0     0     0    40 2.1470
    9     2    73    66    57    14     6     0     0     0     0    40 2.2775
   10     2    65    86    48    14     3     0     0     0     0    40 2.2065
  Ave     2 61.20 82.30 54.00 15.20  3.10  0.20  0.00  0.00  0.00 40.00 2.2195
